Entity,Code,Year,Gas - Prices (US dollars per MWh),Consumption,Production
Average German import,,1984,13.585157904660448,588.3013431013432,208.9643624
Average German import,,1985,14.462195128704577,581.4914240172119,193.3176207
Average German import,,1986,13.357303951497256,579.8007670223668,176.9903566
Average German import,,1987,8.661511122940905,628.6170099014955,197.7401376
Average German import,,1988,7.54922090179867,618.8513967704322,188.3781178
Average German import,,1989,6.80174683463855,633.3579431527745,182.949764
Average German import,,1990,9.438036655312148,637.6023198041689,166.2303642
Average German import,,1991,10.9931826,669.192777777778,174.8268695
Average German import,,1992,9.175573199999999,661.6269444444447,177.3916949
Average German import,,1993,8.538678399999998,700.1133333333336,177.752004
Average German import,,1994,7.9915776,712.9272222222224,184.3938811
Average German import,,1995,8.2625508,777.3736111111114,195.166564
Average German import,,1996,8.489239,869.9100000000002,210.9700929
Average German import,,1997,9.0601908,831.0336111111113,207.8298562
Average German import,,1998,7.9238904,838.6502777777781,202.5590789
Average German import,,1999,6.3335608,836.1908333333336,215.9722377
Average German import,,2000,9.895054,829.2458333333336,204.244987
Average German import,,2001,12.4679972,874.4819444444447,205.940157
Average German import,,2002,10.9214086,873.1277777777782,206.662689
Average German import,,2003,13.814737199999998,883.7197222222225,205.8012098
Average German import,,2004,14.626300200000001,888.2105555555559,190.4427724
Average German import,,2005,19.8230812,902.8104919473989,183.8751402
Average German import,,2006,26.7725078,920.0689648854991,181.6427027
Average German import,,2007,27.179603399999998,886.3619585580161,169.1324851
Average German import,,2008,39.441767999999996,895.006303102997,146.2416241
Average German import,,2009,29.0066274,844.301216468662,168.9096708
Average German import,,2010,27.3054884,880.7125000000003,143.1304398
Average German import,,2011,35.670352,808.6072222222224,144.8849696
Average German import,,2012,37.146802,811.1005555555557,127.8747363
Average German import,,2013,36.46944632641685,849.7433333333336,115.1341605
Average German import,,2014,30.990304941386675,738.950277777778,108.157402
Average German import,,2015,22.844890291764933,769.5361111111114,108.157402
Average German import,,2016,16.76646508851358,842.2811038673591,108.157402
Canada,CAN,1990,3.57,700.6620267000001,1143.836285
Canada,CAN,1991,3.0203333333333333,705.5040609,1206.99322
Canada,CAN,1992,3.3291666666666666,747.8587764000001,1347.306949
Canada,CAN,1993,5.754499999999999,793.4938497,1463.451325
Canada,CAN,1994,4.9384999999999994,821.4574869000002,1597.345969
Canada,CAN,1995,3.026,863.1182403,1676.580069
Canada,CAN,1996,3.810833333333333,906.2066925000001,1708.874412
Canada,CAN,1997,4.618333333333333,912.4303707000001,1727.64862
Canada,CAN,1998,4.8365,873.2534364,1793.457616
Canada,CAN,1999,6.785833333333334,914.4159606000001,1878.422147
Canada,CAN,2000,12.7415,970.2479853000001,1934.038484
Canada,CAN,2001,12.279666666666667,923.1203178000001,1975.910359
Canada,CAN,2002,8.743666666666666,943.7989230000001,1986.276484
Canada,CAN,2003,16.41916666666667,1022.1915195000001,1938.639049
Canada,CAN,2004,17.107666666666663,995.1123438000001,1947.486729
Canada,CAN,2005,24.65,1023.6966741000001,1974.745853
Canada,CAN,2006,19.833333333333332,1014.7222683000001,1970.855482
Canada,CAN,2007,20.9695,1006.9285401000001,1932.949831
Canada,CAN,2008,27.166,1005.6065580000001,1819.705009
Canada,CAN,2009,11.500499999999999,993.6741780000001,1702.27457
Canada,CAN,2010,12.532077078364985,994.8370617000002,1633.30997
Canada,CAN,2011,11.813553558098647,1055.5979967,1581.309542
Canada,CAN,2012,7.712759116086051,1048.9441248,1536.297442
Canada,CAN,2013,9.948450450613784,1087.4804787,1554.244493
Canada,CAN,2014,13.152465451797143,1091.0141379000002,1615.123231
Canada,CAN,2015,6.824895226937443,1072.4749875,1615.123231
Canada,CAN,2016,5.271546422312276,1045.1596523813912,1615.123231
Japan,JPN,1984,17.34,373.9954999999994,24.30623072
Japan,JPN,1985,17.797821782178218,400.6127499999994,25.35460402
Japan,JPN,1986,13.946732673267329,407.6324999999993,23.98716479
Japan,JPN,1987,11.398970611042184,418.0602499999993,24.70506877
Japan,JPN,1988,11.369969370347393,443.40424999999925,23.89600218
Japan,JPN,1989,11.149384175971873,460.57324999999923,22.89321341
Japan,JPN,1990,12.391549059139784,503.17274999999916,69.95064551
Japan,JPN,1991,13.55220287944582,532.0292499999993,72.61065057
Japan,JPN,1992,12.316958746898264,553.1232499999991,72.9212137
Japan,JPN,1993,11.974875930521094,556.9537499999991,74.88400443
Japan,JPN,1994,10.81164056038048,595.630249999999,71.73814899
Japan,JPN,1995,11.768461796939619,606.190999999999,74.23847624
Japan,JPN,1996,12.45504419975186,646.7877499999989,71.26082867
Japan,JPN,1997,13.281469706368897,671.3634999999989,69.14005588
Japan,JPN,1998,10.368822373862697,691.654499999999,66.58547237
Japan,JPN,1999,10.667128696236558,726.4187499999989,67.45462388
Japan,JPN,2000,16.05905254859388,756.6502499999988,68.68413929
Japan,JPN,2001,15.76805146298594,777.2839999999987,65.17507206
Japan,JPN,2002,14.529566661497105,760.4604999999988,73.1874342
Japan,JPN,2003,16.215208850289496,834.9822499999987,62.39398094
Japan,JPN,2004,17.618912841191065,806.0404999999986,66.99483474
Japan,JPN,2005,20.56220921215881,822.2097499999987,60.16172857
Japan,JPN,2006,24.270248526674937,876.4989999999987,62.34853424
Japan,JPN,2007,26.2823743796526,944.4744999999986,65.81302412
Japan,JPN,2008,42.664065730976006,981.1742499999984,64.33877311
Japan,JPN,2009,30.797669820099255,915.2817499999985,61.25512966
Japan,JPN,2010,37.091927729528535,989.2029999999984,59.52288646
Japan,JPN,2011,50.07965002067825,1104.3205701309982,60.35829537
Japan,JPN,2012,56.943771324441684,1223.753849382248,58.60147784
Japan,JPN,2013,54.97591630479736,1223.2462090424979,56.14439281
Japan,JPN,2014,55.51963464123243,1235.270253357748,69.45460225
Japan,JPN,2015,35.03822244623656,1187.1893603122483,69.45460225
Japan,JPN,2016,23.58536884822167,1164.1744546017483,69.45460225
OECD,,1984,17,272.58975732600004,68.52294849
OECD,,1985,16.155862068965515,282.329510166,58.1684258
OECD,,1986,8.75206896551724,283.012733124,45.7305958
OECD,,1987,10.522413793103448,292.101668838,42.40924612
OECD,,1988,8.71103448275862,277.252596486,34.84349424
OECD,,1989,10.241034482758621,284.458393296,33.68820888
OECD,,1990,12.990344827586206,294.000110496,32.53114324
OECD,,1991,11.313793103448276,328.381798086,36.78514143
OECD,,1992,10.838965517241379,326.463552864,35.97237133
OECD,,1993,9.596206896551726,336.85682331600003,37.26923264
OECD,,1994,9.18,323.64694596600003,38.46793425
OECD,,1995,10.076896551724138,345.059999622,36.09125468
OECD,,1996,12.02896551724138,377.5729509,31.09291175
OECD,,1997,11.202413793103448,364.53500449200004,27.48770204
OECD,,1998,7.339310344827586,388.66474706400004,23.73941573
OECD,,1999,10.11793103448276,401.08846955159163,21.56455541
OECD,,2000,16.413793103448274,416.0385617738958,19.43726064
OECD,,2001,13.863793103448275,436.7621130318,19.98591303
OECD,,2002,14.18034482758621,436.02066759564,19.49211553
OECD,,2003,16.63655172413793,453.57320287339024,16.83010092
OECD,,2004,21.326206896551724,467.0090903778966,14.54793054
OECD,,2005,29.70310344827586,477.5406685608079,11.74774371
OECD,,2006,36.22758620689655,460.9102902014305,12.95962276
OECD,,2007,40.641724137931035,447.49069076824924,11.53567264
OECD,,2008,56.973448275862076,463.9779757754586,10.01712372
OECD,,2009,35.40689655172414,446.9463518248728,9.526948708
OECD,,2010,45.798,495.57988533546177,8.057458684
